"TEAM","COMP","PASS.ATT","PASS.PCT","PASS.YDS..OFF.","PASS.YDS.ATT","PASS.TD","PASS.INT..OFF.","QBR","RUSH.ATT","RUSH.YDS..OFF.","RUSH.YDS.ATT","RUSH.TD..OFF.","TOTAL.FIRST.DOWNS","RUSH.FIRST.DOWNS","PASS.FIRST.DOWNS","THRD.DOWN.MADE","THRD.DOWN.ATT","THRD.DOWN.PCT","FOURTH.DOWN.ATT","PENALTIES","KICKING.PTS","FGA","FG.LNG","XP","PUNTS","PTS.AGAINST","TOTAL.YDS..DEF.","PASS.YDS..DEF.","RUSH.YARDS..DEF."
"1",1,1,1,5,1,2,1,1,4,6,5,5,4,5,1,6,5,4,6,1,3,3,1,7,4,1,2,3,2,3
"2",1,1,1,3,1,1,1,1,3,7,6,5,5,4,1,7,3,3,4,3,3,2,1,5,4,1,2,3,2,2
"3",1,1,1,4,2,6,2,1,7,6,5,5,4,5,1,6,4,3,6,1,2,3,1,1,6,1,1,2,2,2
"4",1,1,1,7,2,5,1,1,6,4,4,5,5,3,2,3,4,3,5,1,2,2,2,1,4,2,3,4,2,4
"5",1,1,1,5,2,4,2,2,5,5,3,3,1,3,2,4,4,5,3,3,1,4,2,1,2,2,1,2,1,2
"6",1,1,1,6,2,5,2,1,7,4,3,4,1,2,2,3,4,4,4,1,1,3,2,6,2,3,1,2,1,2
"7",1,2,2,5,2,3,3,1,6,4,4,4,2,4,3,4,3,3,4,4,1,2,1,1,3,1,4,4,1,6
"8",1,1,1,7,2,7,1,1,7,7,5,4,4,4,1,6,5,5,5,2,1,4,2,1,4,1,2,3,3,1
"9",1,2,2,5,3,5,1,1,6,6,4,4,4,4,3,4,5,5,4,1,2,2,1,1,4,3,3,4,4,2
"10",1,2,1,6,2,3,3,1,7,6,4,4,3,5,2,5,5,4,5,2,2,3,2,3,4,2,4,4,3,4
"11",1,1,2,4,3,6,2,4,5,5,4,5,2,4,2,4,2,3,3,1,2,4,2,1,3,2,3,3,3,3
"12",1,1,1,1,1,2,1,1,4,5,3,4,2,3,1,4,4,5,4,1,1,1,1,1,2,3,4,4,2,5
"13",1,2,2,2,2,3,1,2,3,3,2,3,1,3,2,3,4,5,3,3,1,1,1,1,2,3,3,4,4,3
"14",1,1,2,1,2,4,3,4,4,3,3,4,2,2,1,3,2,4,3,1,1,2,1,1,4,3,5,5,2,5
"15",1,1,2,1,1,2,1,1,4,4,3,3,1,3,1,2,1,4,1,4,3,4,2,5,2,3,5,5,4,3
"16",1,2,3,3,3,3,1,1,4,4,3,3,1,3,3,3,5,6,4,2,2,2,2,1,1,3,2,3,3,2
"17",1,1,1,1,1,1,1,2,1,6,5,5,4,4,1,5,3,5,3,3,2,2,1,6,3,3,2,3,2,3
"18",1,1,1,2,1,3,1,2,2,4,3,3,2,3,1,4,3,4,3,2,1,1,1,1,2,2,4,5,3,4
"19",1,2,1,7,3,5,2,1,7,6,4,4,4,5,3,5,4,4,5,1,1,4,2,1,4,2,4,5,4,3
"20",1,1,1,5,2,6,1,2,5,4,4,4,2,4,2,4,2,2,3,1,3,1,1,1,2,2,3,3,3,2
"21",1,2,2,4,2,2,1,1,5,5,4,5,2,4,2,4,3,4,3,3,3,2,2,4,2,2,5,5,4,4
"22",1,1,1,3,1,3,1,2,4,4,5,5,4,3,1,4,4,3,5,1,2,2,1,1,4,2,4,5,4,3
"23",1,1,1,2,1,2,1,1,4,5,4,4,2,3,1,3,3,5,3,1,2,3,2,3,2,5,2,4,4,2
"24",1,1,1,2,1,2,1,2,2,5,3,3,1,2,1,3,3,5,3,3,1,1,1,1,1,2,3,4,2,4
"25",1,1,2,2,1,2,1,3,1,5,3,4,1,3,1,4,5,5,5,1,1,1,1,1,1,2,3,3,1,4
"26",1,2,2,6,2,3,4,1,7,4,3,4,1,3,2,3,3,4,3,1,2,2,1,3,2,3,2,4,2,4
"27",1,1,1,3,1,3,1,2,4,5,4,4,3,3,1,4,3,4,3,1,1,2,2,6,3,3,2,3,2,2
"28",1,1,1,3,2,4,1,1,6,4,3,3,1,2,1,3,2,4,2,3,2,3,2,7,2,3,3,4,3,3
"29",1,2,3,3,3,3,1,3,3,4,3,3,1,3,3,2,4,5,3,2,2,3,2,1,1,3,3,4,3,2
"30",1,2,2,5,2,3,1,2,3,5,4,4,3,3,2,4,5,5,4,5,2,2,1,1,2,1,4,4,3,3
"31",1,1,1,4,2,6,1,1,7,7,4,3,4,4,1,5,5,5,4,3,1,2,1,4,4,3,3,4,1,5
"32",1,1,1,3,2,4,1,1,6,7,6,4,4,4,2,6,4,5,3,5,2,2,1,1,4,2,2,3,2,3
"33",1,1,1,5,1,2,1,1,4,6,4,4,1,3,1,5,4,5,3,3,2,2,2,6,1,3,4,4,4,3
"34",1,1,1,1,1,3,1,1,3,7,6,4,6,5,1,7,5,5,4,2,1,5,2,1,5,2,1,2,2,1
"35",2,2,2,2,2,2,1,2,3,3,2,3,1,2,2,2,3,5,3,1,2,2,1,1,4,5,1,2,1,3
"36",2,3,3,6,3,3,1,2,4,4,4,4,3,5,4,4,5,4,5,1,3,5,3,6,2,1,2,4,4,1
"37",2,3,3,6,3,3,1,1,6,3,3,5,4,4,4,3,2,3,3,1,4,2,2,6,4,2,2,3,3,1
"38",2,3,2,6,2,3,1,1,5,5,4,4,3,5,3,4,4,4,4,2,3,4,2,7,2,2,2,2,2,2
"39",2,2,2,6,2,3,3,1,7,4,3,4,2,4,2,4,3,3,4,1,2,4,2,5,4,1,2,3,3,2
"40",2,3,4,2,2,2,2,1,4,2,2,3,1,2,3,2,4,6,3,1,1,3,2,1,2,5,2,3,1,3
"41",2,2,2,4,2,2,1,2,4,2,3,5,2,2,1,2,3,4,3,1,2,2,2,1,3,3,1,4,3,2
"42",2,3,3,4,2,2,2,3,4,3,3,4,1,3,3,3,2,3,3,1,2,1,1,1,2,2,1,2,2,2
"43",2,3,3,4,2,2,1,1,5,3,2,3,2,3,3,2,3,4,3,1,3,2,2,5,2,4,2,4,3,3
"44",2,3,2,6,2,3,2,1,6,3,3,4,4,4,3,4,3,2,5,3,1,3,1,1,6,1,1,1,1,2
"45",2,2,2,6,2,3,2,1,7,3,4,5,4,4,2,4,2,2,5,3,1,2,1,1,5,1,1,2,1,2
"46",2,4,4,5,4,3,3,2,5,4,4,5,3,6,4,5,5,4,5,2,2,4,2,4,4,1,2,2,3,1
"47",2,2,2,5,2,3,1,1,5,4,4,4,1,4,2,4,3,5,3,2,3,5,3,1,2,2,2,3,2,2
"48",2,4,3,6,5,4,3,1,6,3,3,4,2,4,4,3,3,3,4,1,2,4,2,4,4,1,1,2,1,2
"49",2,4,4,4,3,3,2,3,4,3,3,4,3,5,3,4,2,4,3,3,2,2,2,3,4,3,1,3,2,2
"50",2,3,3,5,4,4,4,1,7,3,3,5,2,5,4,4,2,1,4,1,4,2,1,1,5,2,4,6,5,3
"51",2,2,2,6,3,3,2,1,6,4,4,5,4,5,4,4,4,3,5,1,1,3,1,6,5,1,2,3,3,2
"52",2,4,5,4,3,2,3,4,3,4,3,4,2,5,4,3,6,6,5,4,2,2,1,6,3,1,4,4,4,2
"53",2,3,2,7,3,4,2,2,6,1,2,3,1,3,3,1,1,3,2,1,1,4,3,6,3,3,1,3,3,2
"54",2,3,3,5,5,4,5,2,7,4,3,4,1,5,3,4,6,5,6,1,4,2,1,1,4,1,2,2,1,2
